1015 z,1015 r,1015 A_v,1015 r-i,1015 i-z,2137 z,2137 r,2137 A_v,2137 r-i,2137 i-z,2958 z,2958 r,2958 A_v,2958 r-i,2958 i-z
,,,,,,,,,,2.047925,20.6484,0.03623142,-0.17509,-0.1632
,,,,,,,,,,0.8648227,20.75379,0.03403155,-0.0493,0.68311
,,,,,,,,,,0.856479,20.41933,0.03271452,-0.11997,0.12238
,,,,,,,,,,1.713332,20.86572,0.031191,0.05976,-0.29574
,,,,,,,,,,0.7506666,21.03794,0.03395017,1.02704,0.10583
,,,,,,,,,,2.053961,20.70581,0.03292638,-0.13037,-0.11722
,,,,,,,,,,1.81767,21.31679,0.02546118,0.81425,0.16743
,,,,,,,,,,0.8894568,21.37757,0.03157751,1.0087,-0.22762
,,,,,,,,,,1.977872,21.16325,0.03135588,1.08535,0.09154
,,,,,,,,,,1.345933,20.26182,0.03342829,-0.71902,-0.18185
,,,,,,,,,,1.673966,20.78765,0.03096126,-0.27893,0.00678
,,,,,,,,,,1.861678,21.30828,0.03036353,0.34975,0.32537
,,,,,,,,,,1.226706,21.25563,0.02897374,1.05945,-0.11713
,,,,,,,,,,0.9448597,20.38733,0.0285756,0.09395,-0.02721
,,,,,,,,,,2.062081,20.7515,0.03074917,0.1273,0.11899
,,,,,,,,,,1.783078,21.09382,0.02956377,0.35443,0.34069
,,,,,,,,,,0.9813636,20.94465,0.03192692,1.15316,0.11394
,,,,,,,,,,1.711685,20.25041,0.02884313,-0.36123,-0.0679
,,,,,,,,,,1.227365,20.7894,0.03508499,-0.03411,0.43435
,,,,,,,,,,0.8559721,21.03241,0.03943789,0.11875,0.40592
,,,,,,,,,,1.453307,20.9608,0.03599172,0.3699,-0.03225
,,,,,,,,,,0.8340261,20.89931,0.02951816,0.47394,0.10244
,,,,,,,,,,0.9918147,20.69948,0.03403707,1.05041,0.25255
,,,,,,,,,,2.080534,20.88968,0.0353416,1.10943,0.13405
,,,,,,,,,,2.064778,20.87979,0.03276668,0.80043,-0.1741
,,,,,,,,,,1.632871,21.21065,0.02001484,0.94904,0.03655
,,,,,,,,,,1.002181,20.98722,0.02636297,0.80045,0.04059
,,,,,,,,,,1.452335,20.85708,0.02892274,0.168,0.29109
,,,,,,,,,,1.66094,20.86397,0.02887118,0.42503,0.16131
,,,,,,,,,,1.457763,20.76464,0.02677448,0.06523,-0.08304
,,,,,,,,,,1.842991,21.20535,0.0325245,0.36512,0.16763
,,,,,,,,,,0.2589082,21.05932,0.03292177,1.19471,0.19958
,,,,,,,,,,1.376177,20.70627,0.0360957,0.16889,0.11687
,,,,,,,,,,1.602497,21.14617,0.03351143,0.20627,-0.15661
,,,,,,,,,,1.248252,21.13596,0.02905978,0.2953,0.45398
,,,,,,,,,,1.247966,20.32366,0.03185236,-0.41102,-0.07046
